date,fgi,rating
2022-01-12,59.22857142857142,greed
2022-01-13,50.34285714285714,neutral
2022-01-14,52.885714285714286,neutral
2022-01-18,51.34285714285714,neutral
2022-01-19,48.68571428571429,neutral
2022-01-20,40.34285714285714,fear
2022-01-21,29.480519480519483,fear
2022-01-24,25.88159588159588,fear
2022-01-25,22.47335907335907,extreme fear
2022-01-26,21.187644787644786,extreme fear
2022-01-27,20.438775510204078,extreme fear
2022-01-28,23.82857142857143,extreme fear
2022-01-31,30.228571428571428,fear
2022-02-01,30.885714285714283,fear
2022-02-02,27.714285714285715,fear
2022-02-03,26.314285714285713,fear
2022-02-04,27.8,fear
2022-02-07,27.97142857142857,fear
2022-02-08,29.657142857142862,fear
2022-02-09,32.971428571428575,fear
2022-02-10,32.17142857142857,fear
2022-02-11,29.2,fear
2022-02-14,25.142857142857142,fear
2022-02-15,28.74285714285714,fear
2022-02-16,30.514285714285716,fear
2022-02-17,29.714285714285715,fear
2022-02-18,30.428571428571427,fear
2022-02-22,28.057142857142853,fear
2022-02-23,21.117520215633423,extreme fear
2022-02-24,22.417789757412397,extreme fear
2022-02-25,32.34285714285714,fear
2022-02-28,30.04081632653061,fear
2022-03-01,24.88299319727891,extreme fear
2022-03-02,21.429931972789117,extreme fear
2022-03-03,22.81904761904762,extreme fear
2022-03-04,21.02721088435374,extreme fear
2022-03-07,17.949659863945577,extreme fear
2022-03-08,18.193197278911565,extreme fear
2022-03-09,21.236734693877555,extreme fear
2022-03-10,20.11156462585034,extreme fear
2022-03-11,19.900680272108843,extreme fear
2022-03-14,20.518367346938778,extreme fear
2022-03-15,23.77142857142857,extreme fear
2022-03-16,25.400000000000002,fear
2022-03-17,29.171428571428574,fear
2022-03-18,37.971428571428575,fear
2022-03-21,40.771428571428565,fear
2022-03-22,44.57142857142857,fear
2022-03-23,45.51428571428571,neutral
2022-03-24,47.542857142857144,neutral
2022-03-25,49.34285714285714,neutral
2022-03-28,51.199999999999996,neutral
2022-03-29,53.34285714285714,neutral
2022-03-30,52.82857142857142,neutral
2022-03-31,58.971428571428575,greed
2022-04-01,59.68571428571429,greed
2022-04-04,61.800000000000004,greed
2022-04-05,48.542857142857144,neutral
2022-04-06,46.628571428571426,neutral
2022-04-07,46.77142857142858,neutral
2022-04-08,46.457142857142856,neutral
2022-04-11,44.05714285714286,fear
2022-04-12,43.45714285714286,fear
2022-04-13,43.31428571428571,fear
2022-04-14,41.057142857142864,fear
2022-04-18,39.228571428571435,fear
2022-04-19,42.48571428571428,fear
2022-04-20,41.028571428571425,fear
2022-04-21,40.885714285714286,fear
2022-04-22,32.74285714285714,fear
2022-04-25,30.428571428571427,fear
2022-04-26,20.58270676691729,extreme fear
2022-04-27,19.457894736842103,extreme fear
2022-04-28,23.25714285714286,extreme fear
2022-04-29,18.542857142857144,extreme fear
2022-05-02,17.771428571428572,extreme fear
2022-05-03,30.742857142857144,fear
2022-05-04,22.17142857142857,extreme fear
2022-05-05,17.62857142857143,extreme fear
2022-05-06,16.257142857142856,extreme fear
2022-05-09,10.21904761904762,extreme fear
2022-05-10,10.866666666666665,extreme fear
2022-05-11,8.037593984962408,extreme fear
2022-05-12,6.87214,extreme fear
